HOLEID FROM TO SAMPLETYPE Au
DDH0853 263.96 267 Diamond 0.003
DDH0853 267 270.05 Diamond 0.003
DDH0853 270.05 273.1 Diamond 0.003
DDH0853 273.1 276.15 Diamond 0.003
DDH0853 276.15 279.2 Diamond 0.003
DDH0853 279.2 282.24 Diamond 0.003
DDH0853 282.24 285.29 Diamond 0.003
DDH0853 285.29 288.34 Diamond 0.003
DDH0854 0 3.6 Diamond 0.005
DDH0854 3.6 6.64 Diamond 0.019
DDH0854 6.64 9.69 Diamond 0.005
DDH0854 9.69 12.74 Diamond 0.005
DDH0854 12.74 15.79 Diamond 0.005
DDH0854 15.79 18.84 Diamond 0.003
DDH0854 18.84 21.88 Diamond 0.003
DDH0854 21.88 23.41 Diamond 0.003
DDH0854 23.41 24.93 NS -1
DDH0854 24.93 27.98 Diamond 0.003
DDH0854 27.98 31.03 Diamond 0.003
DDH0854 31.03 34.08 Diamond 0.005
DDH0854 34.08 37.12 Diamond 0.003
DDH0854 37.12 40.17 Diamond 0.003
DDH0854 40.17 43.22 Diamond 0.006
DDH0854 43.22 46.27 Diamond 0.012
DDH0854 46.27 49.38 Diamond 0.003
DDH0854 49.38 52.36 Diamond 0.005
DDH0854 52.36 55.41 Diamond 0.003
DDH0854 55.41 58.46 Diamond 0.003
DDH0854 58.46 61.51 Diamond 0.006
DDH0854 61.51 64.56 Diamond 0.003
DDH0854 64.56 67.6 Diamond 0.006
DDH0854 67.6 70.65 Diamond 0.006
DDH0854 70.65 73.7 Diamond 0.003
DDH0854 73.7 76.75 Diamond 0.006
DDH0854 76.75 79.8 Diamond 0.003
DDH0854 79.8 82.84 Diamond 0.003
DDH0854 82.84 85.89 Diamond 0.003
DDH0854 85.89 88.94 Diamond 0.003
DDH0854 88.94 91.99 Diamond 0.005
DDH0854 91.99 95.04 Diamond 0.003
DDH0854 95.04 98.12 Diamond 0.005
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0854 98.12 101.16 Diamond 0.005
DDH0854 101.16 104.21 Diamond 0.019
DDH0854 104.21 107.26 Diamond 0.008
DDH0854 107.26 110.31 Diamond 0.003
DDH0854 110.31 113.36 Diamond 0.003
DDH0854 113.36 117.01 Diamond 0.003
DDH0854 117.01 120.06 Diamond 0.003
DDH0854 120.06 123.11 Diamond 0.003
DDH0854 123.11 126.16 Diamond 0.013
DDH0854 126.16 129.2 Diamond 0.005
DDH0854 129.2 131.22 Diamond 0.008
DDH0854 131.22 132.98 Diamond 0.005
DDH0854 132.98 134.51 Diamond 0.132
DDH0854 134.51 136.03 Diamond 0.188
DDH0854 136.03 137.59 Diamond 0.048
DDH0854 137.59 139.14 Diamond 0.023
DDH0854 139.14 140.67 Diamond 0.014
DDH0854 140.67 142.19 Diamond 0.03
DDH0854 142.19 143.71 Diamond 0.091
DDH0854 143.71 145.24 Diamond 0.054
DDH0854 145.24 146.76 Diamond 0.003
DDH0854 146.76 148.29 Diamond 0.019
DDH0854 148.29 149.81 Diamond 0.021
DDH0854 149.81 151.33 Diamond 0.326
DDH0854 151.33 152.86 Diamond 0.69
DDH0854 152.86 154.38 Diamond 0.101
DDH0854 154.38 155.91 Diamond 0.075
DDH0854 155.91 157.43 Diamond 0.345
DDH0854 157.43 158.95 Diamond 0.141
DDH0854 158.95 160.63 Diamond 0.34
DDH0854 160.63 162.15 Diamond 0.432
DDH0854 162.15 163.68 Diamond 0.635
DDH0854 163.68 164.87 Diamond 0.054
DDH0854 164.87 166.09 Diamond 0.052
DDH0854 166.09 167.61 Diamond 0.229
DDH0854 167.61 169.13 Diamond 0.625
DDH0854 169.13 170.14 Diamond 0.568
DDH0854 170.14 171.15 Diamond 0.313
DDH0854 171.15 172.27 Diamond 0.324
DDH0854 172.27 173.46 Diamond 1.72
DDH0854 173.46 175.23 Diamond 0.379
DDH0854 175.23 177.06 Diamond 0.699
DDH0854 177.06 178.13 Diamond 0.488
DDH0854 178.13 179.16 Diamond 2.25
DDH0854 179.16 180.65 Diamond 0.279
DDH0854 180.65 182.12 Diamond 0.351
DDH0854 182.12 183.95 Diamond 0.292
DDH0854 183.95 185.04 Diamond 0.458
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0854 185.04 186.78 Diamond 0.733
DDH0854 186.78 187.79 Diamond 0.202
DDH0854 187.79 189.07 Diamond 0.214
DDH0854 189.07 190.41 Diamond 0.548
DDH0854 190.41 191.44 Diamond 0.419
DDH0854 191.44 192.48 Diamond 0.677
DDH0854 192.48 193.58 Diamond 0.15
DDH0854 193.58 194.68 Diamond 0.251
DDH0854 194.68 196.05 Diamond 0.477
DDH0854 196.05 197.39 Diamond 0.202
DDH0854 197.39 198.42 Diamond 4.74
DDH0854 198.42 199.49 Diamond 7.63
DDH0854 199.49 200.62 Diamond 3.77
DDH0854 200.62 201.78 Diamond 0.672
DDH0854 201.78 203.45 Diamond 0.327
DDH0854 203.45 204.73 Diamond 0.235
DDH0854 204.73 205.89 Diamond 1.605
DDH0854 205.89 207.11 Diamond 2.1
DDH0854 207.11 208.64 Diamond 0.58
DDH0854 208.64 210.16 Diamond 0.886
DDH0854 210.16 211.68 Diamond 0.567
DDH0854 211.68 213.21 Diamond 0.841
DDH0854 213.21 215.13 Diamond 1.065
DDH0854 215.13 216.65 Diamond 0.073
DDH0854 216.65 218.51 Diamond 0.018
DDH0854 218.51 219.94 Diamond 0.017
DDH0854 219.94 221.1 Diamond 0.039
DDH0854 221.1 222.26 Diamond 0.02
DDH0854 222.26 223.78 Diamond 0.331
DDH0854 223.78 224.97 Diamond 0.085
DDH0854 224.97 226.5 Diamond 0.003
DDH0854 226.5 228.02 Diamond 0.003
DDH0854 228.02 229.88 Diamond 0.013
DDH0854 229.88 231.4 Diamond 1.31
DDH0854 231.4 232.93 Diamond 1.59
DDH0854 232.93 234.45 Diamond 0.324
DDH0854 234.45 235.98 Diamond 0.003
DDH0854 235.98 237.5 Diamond 0.007
DDH0854 237.5 239.02 Diamond 0.003
DDH0854 239.02 240.55 Diamond 0.009
DDH0854 240.55 242.07 Diamond 0.003
DDH0854 242.07 243.2 Diamond 0.003
DDH0854 243.2 244.72 Diamond 0.005
DDH0854 244.72 246.25 Diamond 0.005
DDH0854 246.25 247.77 Diamond 0.01
DDH0854 247.77 249.3 Diamond 0.003
DDH0854 249.3 250.82 Diamond 0.003
DDH0854 250.82 252.34 Diamond 0.003
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0854 252.34 253.87 Diamond 0.003
DDH0854 253.87 255.39 Diamond 0.347
DDH0854 255.39 256.85 Diamond 0.075
DDH0854 256.85 258.32 Diamond 0.003
DDH0854 258.32 259.84 Diamond 0.006
DDH0854 259.84 261.37 Diamond 0.009
DDH0854 261.37 262.89 Diamond 0.003
DDH0854 262.89 264.84 Diamond 0.005
DDH0854 264.84 266.36 Diamond 0.006
DDH0854 266.36 267.89 Diamond 0.003
DDH0854 267.89 269.41 Diamond 0.006
DDH0854 269.41 270.94 Diamond 0.003
DDH0854 270.94 272.46 Diamond 0.003
DDH0854 272.46 273.98 Diamond 0.003
DDH0854 273.98 275.51 Diamond 0.007
DDH0854 275.51 277.03 Diamond 0.015
DDH0854 277.03 278.56 Diamond 0.007
DDH0854 278.56 280.08 Diamond 0.005
DDH0854 280.08 281.6 Diamond 0.007
DDH0854 281.6 283.13 Diamond 0.006
DDH0854 283.13 284.65 Diamond 0.007
DDH0854 284.65 286.18 Diamond 0.006
DDH0854 286.18 287.7 Diamond 0.006
DDH0854 287.7 289.22 Diamond 0.005
DDH0854 289.22 290.54 Diamond 0.023
DDH0854 290.54 291.85 Diamond 0.007
DDH0855 0 6.46 NS -1
DDH0855 6.46 7.99 Diamond 0.003
DDH0855 7.99 11.03 Diamond 0.003
DDH0855 11.03 14.08 Diamond 0.003
DDH0855 14.08 17.13 Diamond 0.003
DDH0855 17.13 20.18 Diamond 0.003
DDH0855 20.18 21.7 Diamond 0.003
DDH0855 21.7 23.5 Diamond 0.003
DDH0855 23.5 26.27 Diamond 0.003
DDH0855 26.27 27.8 Diamond 0.003
DDH0855 27.8 28.96 Diamond 0.003
DDH0855 28.96 30.85 Diamond 0.003
DDH0855 30.85 32.37 Diamond 0.003
DDH0855 32.37 35.42 Diamond 0.003
DDH0855 35.42 37.61 Diamond 0.009
DDH0855 37.61 39.23 Diamond 0.003
DDH0855 39.23 40.93 Diamond 0.003
DDH0855 40.93 43.22 Diamond 0.003
DDH0855 43.22 44.56 Diamond 0.003
DDH0855 44.56 47.61 Diamond 0.003
DDH0855 47.61 50.05 Diamond 0.003
DDH0855 50.05 51.91 Diamond 0.003
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0855 51.91 53.71 Diamond 0.003
DDH0855 53.71 56.75 Diamond 0.003
DDH0855 56.75 58.03 Diamond 0.003
DDH0855 58.03 59.8 Diamond 0.003
DDH0855 59.8 62.85 Diamond 0.003
DDH0855 62.85 65.26 Diamond 0.005
DDH0855 65.26 66.32 Diamond 0.003
DDH0855 66.32 67.82 Diamond 0.003
DDH0855 67.82 68.95 Diamond 0.003
DDH0855 68.95 69.74 Diamond 0.007
DDH0855 69.74 71.72 Diamond 0.003
DDH0855 71.72 73.15 Diamond 0.003
DDH0855 73.15 75.04 Diamond 0.003
DDH0855 75.04 75.86 Diamond 0.003
DDH0855 75.86 77.14 Diamond 0.003
DDH0855 77.14 78.09 Diamond 0.003
DDH0855 78.09 80.16 Diamond 0.003
DDH0855 80.16 81.14 Diamond 0.003
DDH0855 81.14 82.27 Diamond 0.003
DDH0855 82.27 84.19 Diamond 0.003
DDH0855 84.19 84.98 Diamond 0.003
DDH0855 84.98 87.23 Diamond 0.003
DDH0855 87.23 88.82 Diamond 0.003
DDH0855 88.82 90.34 Diamond 0.003
DDH0855 90.34 93.33 Diamond 0.009
DDH0855 93.33 95.19 Diamond 0.003
DDH0855 95.19 96.38 Diamond 0.003
DDH0855 96.38 97.66 Diamond 0.003
DDH0855 97.66 99.36 Diamond 0.003
DDH0855 99.36 99.97 Diamond 0.003
DDH0855 99.97 102.11 Diamond 0.003
DDH0855 102.11 103.78 Diamond 0.003
DDH0855 103.78 105.52 Diamond 0.003
DDH0855 105.52 108.57 Diamond 0.003
DDH0855 108.57 111.25 Diamond 0.003
DDH0855 111.25 112.11 Diamond 0.003
DDH0855 112.11 114.67 Diamond 0.003
DDH0855 114.67 117.71 Diamond 0.003
DDH0855 117.71 119.02 Diamond 0.003
DDH0855 119.02 121.07 Diamond 0.003
DDH0855 121.07 121.68 Diamond 0.003
DDH0855 121.68 123.81 Diamond 0.003
DDH0855 123.81 124.54 Diamond 0.011
DDH0855 124.54 126.86 Diamond 0.003
DDH0855 126.86 127.74 Diamond 0.003
DDH0855 127.74 130.15 Diamond 0.003
DDH0855 130.15 132.95 Diamond 0.003
DDH0855 132.95 134.9 Diamond 0.003
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0855 134.9 136.46 Diamond 0.003
DDH0855 136.46 137.31 Diamond 0.003
DDH0855 137.31 139.05 Diamond 0.003
DDH0855 139.05 142.1 Diamond 0.003
DDH0855 142.1 145.15 Diamond 0.003
DDH0855 145.15 148.19 Diamond 0.003
DDH0855 148.19 150.45 Diamond 0.003
DDH0855 150.45 152.98 Diamond 0.003
DDH0855 152.98 154.29 Diamond 0.003
DDH0855 154.29 155.57 Diamond 0.003
DDH0855 155.57 157.34 Diamond 0.003
DDH0855 157.34 158.77 Diamond 0.003
DDH0855 158.77 160.39 Diamond 0.003
DDH0855 160.39 161.39 Diamond 0.003
DDH0855 161.39 163.43 Diamond 0.003
DDH0855 163.43 165.81 Diamond 0.003
DDH0855 165.81 167.46 Diamond 0.003
DDH0855 167.46 168.8 Diamond 0.003
DDH0855 168.8 171.75 Diamond 0.003
DDH0855 171.75 174.25 Diamond 0.003
DDH0855 174.25 175.23 Diamond 0.003
DDH0855 175.23 176.63 Diamond 0.003
DDH0855 176.63 178.67 Diamond 0.003
DDH0855 178.67 181.14 Diamond 0.003
DDH0855 181.14 183.49 Diamond 0.003
DDH0855 183.49 184.34 Diamond 0.003
DDH0855 184.34 185.2 Diamond 0.003
DDH0855 185.2 186.66 Diamond 0.003
DDH0855 186.66 187.42 Diamond 0.003
DDH0855 187.42 188.43 Diamond 0.003
DDH0855 188.43 190.87 Diamond 0.003
DDH0855 190.87 192.63 Diamond 0.003
DDH0855 192.63 193.91 Diamond 0.003
DDH0855 193.91 195.86 Diamond 0.003
DDH0855 195.86 196.96 Diamond 0.003
DDH0855 196.96 199.4 Diamond 0.003
DDH0855 199.4 200.31 Diamond 0.003
DDH0855 200.31 202.48 Diamond 0.003
DDH0855 202.48 204 Diamond 0.003
DDH0855 204 206.11 Diamond 0.003
DDH0855 206.11 208.36 Diamond 0.003
DDH0855 208.36 209.15 Diamond 0.003
DDH0855 209.15 211.53 Diamond 0.003
DDH0855 211.53 212.08 Diamond 0.009
DDH0855 212.08 212.2 Diamond 0.022
DDH0855 212.2 213.15 Diamond 0.003
DDH0855 213.15 213.79 Diamond 0.005
DDH0855 213.79 215.25 Diamond 0.003
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0855 215.25 216.16 Diamond 0.003
DDH0855 216.16 217.17 Diamond 0.003
DDH0855 217.17 218.66 Diamond 0.003
DDH0855 218.66 220.95 Diamond 0.003
DDH0855 220.95 223.57 Diamond 0.003
DDH0855 223.57 224.52 Diamond 0.003
DDH0855 224.52 225.37 Diamond 0.003
DDH0855 225.37 227.32 Diamond 0.003
DDH0855 227.32 227.72 Diamond 0.003
DDH0855 227.72 228.6 Diamond 0.009
DDH0855 228.6 230.49 Diamond 0.006
DDH0855 230.49 231.65 Diamond 0.003
DDH0855 231.65 233.2 Diamond 0.003
DDH0855 233.2 234.79 Diamond 0.005
DDH0855 234.79 236.13 Diamond 0.005
DDH0855 236.13 236.71 Diamond 0.022
DDH0855 236.71 238.11 Diamond 0.005
DDH0855 238.11 239.09 Diamond 0.008
DDH0855 239.09 240.94 Diamond 0.012
DDH0855 240.94 242.5 Diamond 0.007
DDH0855 242.5 243.23 Diamond 0.024
DDH0855 243.23 244.88 Diamond 0.003
DDH0855 244.88 246.34 Diamond 0.003
DDH0855 246.34 248.41 Diamond 0.006
DDH0855 248.41 249.6 Diamond 0.003
DDH0855 249.6 251.22 Diamond 0.006
DDH0855 251.22 252.44 Diamond 0.027
DDH0855 252.44 253.41 Diamond 0.003
DDH0855 253.41 254.87 Diamond 0.003
DDH0855 254.87 256.06 Diamond 0.008
DDH0855 256.06 257.74 Diamond 0.359
DDH0855 257.74 258.68 Diamond 0.007
DDH0855 258.68 259.38 Diamond 0.059
DDH0855 259.38 260.15 Diamond 0.018
DDH0855 260.15 262.4 Diamond 0.003
DDH0855 262.4 263.41 Diamond 0.021
DDH0855 263.41 264.26 Diamond 0.003
DDH0855 264.26 265.02 Diamond 0.014
DDH0855 265.02 265.6 Diamond 0.005
DDH0855 265.6 266.7 Diamond 0.006
DDH0855 266.7 267.43 Diamond 0.005
DDH0855 267.43 268.77 Diamond 0.006
DDH0855 268.77 270.48 Diamond 0.003
DDH0855 270.48 271.64 Diamond 0.01
DDH0855 271.64 273.77 Diamond 0.003
DDH0855 273.77 275.08 Diamond 0.013
DDH0855 275.08 276.21 Diamond 0.008
DDH0855 276.21 277.52 Diamond 0.021
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0855 277.52 279.47 Diamond 0.003
DDH0855 279.47 280.32 Diamond 0.003
DDH0855 280.32 282 Diamond 0.003
DDH0855 282 283.77 Diamond 0.003
DDH0855 283.77 284.93 Diamond 0.005
DDH0855 284.93 286.18 Diamond 0.003
DDH0855 286.18 287.67 Diamond 0.02
DDH0855 287.67 290.29 Diamond 0.005
DDH0855 290.29 291.45 Diamond 0.028
DDH0855 291.45 294.5 Diamond 0.029
DDH0855 294.5 296.36 Diamond 0.048
DDH0855 296.36 297.85 Diamond 0.05
DDH0855 297.85 299.31 Diamond 0.047
DDH0855 299.31 299.98 Diamond 0.063
DDH0855 299.98 300.69 Diamond 0.032
DDH0855 300.69 303.03 Diamond 0.025
DDH0855 303.03 304.74 Diamond 0.024
DDH0855 304.74 306.78 Diamond 0.02
DDH0855 306.78 307.33 Diamond 0.019
DDH0855 307.33 309.19 Diamond 0.06
DDH0855 309.19 310.9 Diamond 0.073
DDH0855 310.9 312.79 Diamond 0.113
DDH0855 312.79 314.25 Diamond 0.073
DDH0855 314.25 315.83 Diamond 0.111
DDH0855 315.83 318 Diamond 0.172
DDH0855 318 320.16 Diamond 0.174
DDH0855 320.16 321.93 Diamond 0.051
DDH0855 321.93 323.39 Diamond 0.177
DDH0855 323.39 324.73 Diamond 0.1
DDH0855 324.73 326.04 Diamond 0.006
DDH0855 326.04 328.03 Diamond 0.014
DDH0855 328.03 330.01 Diamond 0.036
DDH0855 330.01 331.81 Diamond 0.003
DDH0855 331.81 332.9 Diamond 0.003
DDH0855 332.9 334.61 Diamond 0.003
DDH0855 334.61 336.65 Diamond 0.022
DDH0855 336.65 338.3 Diamond 0.093
DDH0855 338.3 339.64 Diamond 0.112
DDH0855 339.64 341.13 Diamond 0.084
DDH0855 341.13 341.83 Diamond 0.142
DDH0855 341.83 343.91 Diamond 0.154
DDH0855 343.91 345.09 Diamond 0.054
DDH0855 345.09 347.59 Diamond 0.022
DDH0855 347.59 349.36 Diamond 0.032
DDH0855 349.36 351.04 Diamond 0.011
DDH0855 351.04 352.87 Diamond 0.011
DDH0855 352.87 354.94 Diamond 0.005
DDH0855 354.94 356.1 Diamond 0.003
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0855 356.1 357.13 Diamond 0.003
DDH0855 357.13 358.75 Diamond 0.014
DDH0855 358.75 359.39 Diamond 0.003
DDH0855 359.39 360.21 Diamond 0.012
DDH0855 360.21 361.28 Diamond 0.013
DDH0855 361.28 362.29 Diamond 0.027
DDH0855 362.29 364.39 Diamond 0.015
DDH0855 364.39 364.91 Diamond 0.036
DDH0855 364.91 365.91 Diamond 0.003
DDH0855 365.91 367.01 Diamond 0.041
DDH0855 367.01 367.77 Diamond 0.026
DDH0855 367.77 368.66 Diamond 0.023
DDH0855 368.66 369.94 Diamond 0.024
DDH0855 369.94 372.22 Diamond 0.01
DDH0855 372.22 373.75 Diamond 0.044
DDH0855 373.75 376.79 Diamond 0.025
DDH0855 376.79 379.84 Diamond 0.027
DDH0855 379.84 382.89 Diamond 0.023
DDH0855 382.89 385.79 Diamond 0.016
DDH0855 385.79 387.52 Diamond 0.01
DDH0855 387.52 388.99 Diamond 0.013
DDH0855 388.99 391 Diamond 0.012
DDH0855 391 392.4 Diamond 0.013
DDH0855 392.4 394.41 Diamond 0.03
DDH0855 394.41 396.45 Diamond 0.033
DDH0855 396.45 398.13 Diamond 0.07
DDH0855 398.13 399.93 Diamond 0.081
DDH0855 399.93 401.79 Diamond 0.068
DDH0855 401.79 403.49 Diamond 0.038
DDH0855 403.49 404.5 Diamond 0.058
DDH0855 404.5 406.82 Diamond 0.158
DDH0855 406.82 407.7 Diamond 0.83
DDH0855 407.7 408.58 Diamond 1.135
DDH0855 408.58 410.32 Diamond 0.072
DDH0855 410.32 412.12 Diamond 1.765
DDH0855 412.12 413.67 Diamond 0.143
DDH0855 413.67 415.17 Diamond 0.152
DDH0855 415.17 416.11 Diamond 0.04
DDH0855 416.11 417.88 Diamond 0.032
DDH0855 417.88 420.04 Diamond 0.032
DDH0855 420.04 421.51 Diamond 0.011
DDH0855 421.51 423.79 Diamond 0.087
DDH0855 423.79 425.07 Diamond 0.256
DDH0855 425.07 426.63 Diamond 0.003
DDH0855 426.63 428.61 Diamond 0.003
DDH0855 428.61 431.11 Diamond 0.003
DDH0855 431.11 431.72 Diamond 0.003
DDH0855 431.72 433.67 Diamond 0.003
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0855 433.67 435.77 Diamond 0.003
DDH0855 435.77 437.75 Diamond 0.003
DDH0855 437.75 439.52 Diamond 0.003
DDH0855 439.52 440.8 Diamond 0.003
DDH0855 440.8 443.85 Diamond 0.003
DDH0855 443.85 444.46 Diamond 0.003
DDH0855 444.46 445.28 Diamond 0.015
DDH0855 445.28 446.23 Diamond 0.036
DDH0855 446.23 447.39 Diamond 0.012
DDH0855 447.39 449.95 Diamond 0.036
DDH0855 449.95 451.1 Diamond 0.042
DDH0855 451.1 451.96 Diamond 0.024
DDH0855 451.96 452.99 Diamond 0.025
DDH0855 452.99 454.55 Diamond 0.022
DDH0855 454.55 456.04 Diamond 0.014
DDH0855 456.04 459.09 Diamond 0.021
DDH0855 459.09 460.37 Diamond 0.022
DDH0855 460.37 462.41 Diamond 0.024
DDH0855 462.41 463.2 Diamond 0.053
DDH0855 463.2 463.94 Diamond 0.012
DDH0855 463.94 465.55 Diamond 0.033
DDH0855 465.55 466.74 Diamond 0.016
DDH0855 466.74 469.18 Diamond 0.035
DDH0855 469.18 470.43 Diamond 0.013
DDH0855 470.43 471.98 Diamond 0.007
DDH0855 471.98 474.33 Diamond 0.005
DDH0855 474.33 477.38 Diamond 0.003
DDH0855 477.38 480.43 Diamond 0.003
DDH0855 480.43 481.55 Diamond 0.005
DDH0855 481.55 482.32 Diamond 0.032
DDH0855 482.32 483.84 Diamond 0.006
DDH0855 483.84 486.52 Diamond 0.054
DDH0855 486.52 489.57 Diamond 0.015
DDH0855 489.57 492.62 Diamond 0.013
DDH0855 492.62 493.84 Diamond 0.022
DDH0855 493.84 495.94 Diamond 0.018
DDH0855 495.94 498.17 Diamond 0.006
DDH0855 498.17 500.24 Diamond 0.007
DDH0855 500.24 501.76 Diamond 0.006
DDH0855 501.76 502.71 Diamond 0.005
DDH0855 502.71 504.81 Diamond 0.003
DDH0855 504.81 507.07 Diamond 0.003
DDH0855 507.07 507.86 Diamond 0.003
DDH0855 507.86 509.66 Diamond 0.003
DDH0855 509.66 510.91 Diamond 0.003
DDH0855 510.91 513.95 Diamond 0.003
DDH0855 513.95 516.42 Diamond 0.006
DDH0855 516.42 518.19 Diamond 0.034
HOLEID FROM TO SAMPLETYPE Au
m m g/t
DDH0855 518.19 520.05 Diamond 0.005
DDH0855 520.05 523.1 Diamond 0.003
DDH0855 523.1 524.1 Diamond 0.005
DDH0855 524.1 526.15 Diamond 0.005
DDH0855 526.15 527 Diamond 0.008
DDH0855 527 528.07 Diamond 0.005
DDH0855 528.07 529.32 Diamond 0.007
DDH0855 529.32 530.11 Diamond 0.003
DDH0855 530.11 531.14 Diamond 0.01
DDH0855 531.14 532.24 Diamond 0.013
DDH0855 532.24 533.34 Diamond 0.006
DDH0855 533.34 535.29 Diamond 0.003
DDH0855 535.29 536.23 Diamond 0.01
DDH0855 536.23 538.34 Diamond 0.022
DDH0855 538.34 540.87 Diamond 0.022
DDH0855 540.87 542.06 Diamond 0.012
DDH0855 542.06 544.22 Diamond 0.033
